-10.0	-0.10065318783	-0.000102162752631	-0.100359148546	-0.00010111837736	
-9.9	-0.101689046128	-0.000104311221175	-0.1013813705	-0.000103199949633	
-9.8	-0.102747114161	-0.000106532760348	-0.102424796806	-0.000105347374618	
-9.7	-0.103828180686	-0.000108832042265	-0.103490105583	-0.000107563682387	
-9.6	-0.104933082436	-0.000111214718916	-0.104578005548	-0.000109852181394	
-9.5	-0.106062709562	-0.000113687874964	-0.105689237969	-0.000112216535783	
-9.4	-0.1072180123	-0.000116260723599	-0.106824578817	-0.000114660877616	
-9.3	-0.108400009062	-0.000118945673535	-0.10798484116	-0.000117189969938	
-9.2	-0.109609796368	-0.000121759961939	-0.109170877806	-0.00011980944336	
-9.1	-0.110848561135	-0.000124728148796	-0.11038358426	-0.000122526138078	
-9.0	-0.112117596042	-0.000127885922216	-0.111623902011	-0.000125348595894	
-8.9	-0.113418318915	-0.000131285901813	-0.112892822232	-0.000128287764019	
-8.8	-0.114752297417	-0.000135006498626	-0.114191389935	-0.000131357995785	
-8.7	-0.116121280802	-0.000139165479478	-0.115520708643	-0.000134578465211	
-8.6	-0.117527241115	-0.000143940835456	-0.116881945668	-0.000137975155784	
-8.5	-0.118972427131	-0.000149603121515	-0.118276338047	-0.000141583643808	
-8.4	-0.120459435503	-0.000156566068735	-0.119705199206	-0.000145452980528	
-8.3	-0.121991305155	-0.000165466795924	-0.12116992642	-0.000149651096693	
-8.2	-0.123571642656	-0.000177294891558	-0.12267200905	-0.000154272327199	
-8.1	-0.125204787581	-0.000193603887551	-0.12421303751	-0.000159447913583	
-8.0	-0.126896025196	-0.000216864717304	-0.125794712702	-0.000165360742476	
-7.9	-0.128651842223	-0.000251069164293	-0.127418855307	-0.000172266212853	
-7.8	-0.130480179217	-0.000302781511952	-0.129087413494	-0.000180522153463	
-7.7	-0.132390500499	-0.000383000444089	-0.130802465716	-0.00019063237077	
-7.6	-0.134393109204	-0.000510460100726	-0.13256621069	-0.000203310839769	
-7.5	-0.136496011964	-0.000717261798046	-0.134380925064	-0.000219575568014	
-7.4	-0.138694693402	-0.00105701486565	-0.136248841203	-0.000240873913675	
-7.3	-0.140944480044	-0.00160920488297	-0.138171844959	-0.0002691831738	
-7.2	-0.143107575149	-0.00244785958013	-0.140150906145	-0.000306805885058	
-7.1	-0.144936733092	-0.00351258965722	-0.142185731691	-0.000355296792787	
-7.0	-0.146275996069	-0.00448053983886	-0.144276189331	-0.000414224860393	
-6.9	-0.147321953094	-0.00499272150946	-0.146424447711	-0.000482750742272	
-6.8	-0.148448647783	-0.00499346915209	-0.148633583539	-0.000562416546511	
-6.7	-0.149887482693	-0.00467012680596	-0.150904515151	-0.000656576551536	
-6.6	-0.151674358681	-0.00423100376647	-0.153235140249	-0.000767717731411	
-6.5	-0.153748706639	-0.00380240306251	-0.15562159868	-0.000895330358535	
-6.4	-0.156037381423	-0.00343431835303	-0.158060377877	-0.00103510197247	
-6.3	-0.158486453851	-0.00313529938835	-0.16055046724	-0.00117937635072	
-6.2	-0.161063386584	-0.00289790894287	-0.163094972486	-0.0013187515131	
-6.1	-0.163750980706	-0.00271095095587	-0.165701546297	-0.00144437843949	
-6.0	-0.166541592289	-0.00256400239902	-0.168381387562	-0.00155004146568	
-5.9	-0.169433261884	-0.00244860602716	-0.171147332384	-0.00163315186811	
-5.8	-0.17242741461	-0.00235825792491	-0.174011982372	-0.00169445811124	
-5.7	-0.175527562203	-0.0022880545069	-0.176986559679	-0.00173695020382	
-5.6	-0.178738592756	-0.00223430884747	-0.180080613148	-0.00176462004808	
-5.5	-0.182066393954	-0.00219422902885	-0.183302310503	-0.00178150968845	
-5.4	-0.185517663397	-0.00216567239816	-0.186658974682	-0.00179116633829	
-5.3	-0.18909982444	-0.00214696486762	-0.19015762663	-0.0017964313503	
-5.2	-0.192821003155	-0.00213676979106	-0.193805428104	-0.00179943552837	
-5.1	-0.1966900428	-0.00213399294304	-0.197610006093	-0.0018016929572	
-5.0	-0.20071654351	-0.00213771350449	-0.201579680631	-0.0018042250635	
-4.9	-0.204910921236	-0.00214713397176	-0.205723627835	-0.00180767999167	
-4.8	-0.209284483506	-0.00216154416248	-0.21005200662	-0.00181243356662	
-4.7	-0.213849521749	-0.00218029604964	-0.214576070606	-0.00181866927816	
-4.6	-0.218619421362	-0.00220278717414	-0.219308280253	-0.00182643957867	
-4.5	-0.223608791762	-0.00222845101783	-0.224262425609	-0.00183571228265	
-4.4	-0.228833619532	-0.00225675308249	-0.229453767108	-0.00184640581708	
-4.3	-0.234311448593	-0.00228719161269	-0.234899200288	-0.00185841647196	
-4.2	-0.240061592051	-0.00231930200291	-0.240617449664	-0.00187164010715	
-4.1	-0.246105381245	-0.00235266401124	-0.246629297106	-0.00188599017379	
-4.0	-0.252466458428	-0.00238691102083	-0.252957850661	-0.00190141346091	
-3.9	-0.259171120771	-0.00242174078213	-0.259628860907	-0.00191790467377	
-3.8	-0.266248724935	-0.00245692734739	-0.266671093528	-0.00193552075809	
-3.7	-0.27373216366	-0.00249233425705	-0.274116768987	-0.00195439576684	
-3.6	-0.281658428767	-0.00252792941758	-0.282002083116	-0.00197475698855	
-3.5	-0.290069278983	-0.00256380246762	-0.290367826312	-0.00199694299523	
-3.4	-0.299012036378	-0.0026001857118	-0.299260124102	-0.00202142421462	
-3.3	-0.308540542521	-0.00263747987338	-0.308731328668	-0.00204882659662	
-3.2	-0.318716315212	-0.00267628597318	-0.318841099922	-0.00207995896207	
-3.1	-0.329609959961	-0.00271744462427	-0.329657726896	-0.00211584475158	
