 7.8540926132E-02    -7.5000003274E+00    -5.0222359158E-02    -7.4997827784E+00    -5.0221817937E-02    -7.4997827772E+00    -5.0221817880E-02    -7.5000003274E+00    -5.0222359158E-02    -7.4997827784E+00    -5.0221817937E-02    -7.4997827772E+00    -5.0221817880E-02     
 2.3562277840E-01    -7.4956190998E+00    -1.4746614048E-01    -7.4954008083E+00    -1.4746291500E-01    -7.4954008081E+00    -1.4746291498E-01    -7.4956190998E+00    -1.4746614048E-01    -7.4954008083E+00    -1.4746291500E-01    -7.4954008081E+00    -1.4746291498E-01     
 3.9270463066E-01    -7.4874527719E+00    -2.4079288588E-01    -7.4872333175E+00    -2.4078511751E-01    -7.4872333175E+00    -2.4078511754E-01    -7.4874527719E+00    -2.4079288588E-01    -7.4872333175E+00    -2.4078511751E-01    -7.4872333175E+00    -2.4078511754E-01     
 5.4978648292E-01    -7.4760461705E+00    -3.2997602524E-01    -7.4758254141E+00    -3.2996193208E-01    -7.4758254140E+00    -3.2996193207E-01    -7.4760461705E+00    -3.2997602524E-01    -7.4758254141E+00    -3.2996193208E-01    -7.4758254140E+00    -3.2996193207E-01     
 7.0686833519E-01    -7.4619081512E+00    -4.1494364644E-01    -7.4616862076E+00    -4.1492166546E-01    -7.4616862076E+00    -4.1492166554E-01    -7.4619081512E+00    -4.1494364644E-01    -7.4616862076E+00    -4.1492166546E-01    -7.4616862076E+00    -4.1492166554E-01     
 8.6395018745E-01    -7.4454996037E+00    -4.9572954602E-01    -7.4452767920E+00    -4.9569841992E-01    -7.4452767919E+00    -4.9569842000E-01    -7.4454996037E+00    -4.9572954602E-01    -7.4452767920E+00    -4.9569841992E-01    -7.4452767919E+00    -4.9569842000E-01     
 1.0210320397E+00    -7.4272277050E+00    -5.7244178367E-01    -7.4270044939E+00    -5.7240060214E-01    -7.4270044939E+00    -5.7240060211E-01    -7.4272277050E+00    -5.7244178367E-01    -7.4270044939E+00    -5.7240060214E-01    -7.4270044939E+00    -5.7240060211E-01     
 1.1781138920E+00    -7.4074461728E+00    -6.4523851604E-01    -7.4072231243E+00    -6.4518671634E-01    -7.4072231243E+00    -6.4518671638E-01    -7.4074461728E+00    -6.4523851604E-01    -7.4072231243E+00    -6.4518671634E-01    -7.4072231243E+00    -6.4518671638E-01     
 1.3351957442E+00    -7.3864588108E+00    -7.1430995619E-01    -7.3862365332E+00    -7.1424729845E-01    -7.3862365332E+00    -7.1424729843E-01    -7.3864588108E+00    -7.1430995619E-01    -7.3862365332E+00    -7.1424729845E-01    -7.3862365332E+00    -7.1424729843E-01     
 1.4922775965E+00    -7.3645243527E+00    -7.7986514299E-01    -7.3643034602E+00    -7.7979166652E-01    -7.3643034601E+00    -7.7979166651E-01    -7.3645243527E+00    -7.7986514299E-01    -7.3643034602E+00    -7.7979166652E-01    -7.3643034601E+00    -7.7979166651E-01     
 1.6493594488E+00    -7.3418615644E+00    -8.4212223643E-01    -7.3416426459E+00    -8.4203820802E-01    -7.3416426459E+00    -8.4203820807E-01    -7.3418615644E+00    -8.4212223643E-01    -7.3416426459E+00    -8.4203820802E-01    -7.3416426459E+00    -8.4203820807E-01     
 1.8064413010E+00    -7.3186541195E+00    -9.0130134186E-01    -7.3184377175E+00    -9.0120720474E-01    -7.3184377175E+00    -9.0120720474E-01    -7.3186541195E+00    -9.0130134186E-01    -7.3184377175E+00    -9.0120720474E-01    -7.3184377175E+00    -9.0120720474E-01     
 1.9635231533E+00    -7.2950550898E+00    -9.5761920513E-01    -7.2948416867E+00    -9.5751553006E-01    -7.2948416867E+00    -9.5751553006E-01    -7.2950550898E+00    -9.5761920513E-01    -7.2948416867E+00    -9.5751553006E-01    -7.2948416867E+00    -9.5751553006E-01     
 2.1206050056E+00    -7.2711910145E+00    -1.0112853380E+00    -7.2709810250E+00    -1.0111727806E+00    -7.2709810250E+00    -1.0111727806E+00    -7.2711910145E+00    -1.0112853380E+00    -7.2709810250E+00    -1.0111727806E+00    -7.2709810250E+00    -1.0111727806E+00     
 2.2776868578E+00    -7.2471655652E+00    -1.0624992803E+00    -7.2469593352E+00    -1.0623785456E+00    -7.2469593352E+00    -1.0623785456E+00    -7.2471655652E+00    -1.0624992803E+00    -7.2469593352E+00    -1.0623785456E+00    -7.2469593352E+00    -1.0623785456E+00     
 2.4347687101E+00    -7.2230628303E+00    -1.1114487850E+00    -7.2228606377E+00    -1.1113205984E+00    -7.2228606377E+00    -1.1113205984E+00    -7.2230628303E+00    -1.1114487850E+00    -7.2228606377E+00    -1.1113205984E+00    -7.2228606377E+00    -1.1113205984E+00     
 2.5918505624E+00    -7.1989502443E+00    -1.1583087467E+00    -7.1987523033E+00    -1.1581738325E+00    -7.1987523033E+00    -1.1581738325E+00    -7.1989502443E+00    -1.1583087467E+00    -7.1987523033E+00    -1.1581738325E+00    -7.1987523033E+00    -1.1581738325E+00     
 2.7489324146E+00    -7.1748811870E+00    -1.2032407253E+00    -7.1746876536E+00    -1.2030997900E+00    -7.1746876536E+00    -1.2030997900E+00    -7.1748811870E+00    -1.2032407253E+00    -7.1746876536E+00    -1.2030997900E+00    -7.1746876536E+00    -1.2030997900E+00     
 2.9060142669E+00    -7.1508972680E+00    -1.2463929278E+00    -7.1507082464E+00    -1.2462466481E+00    -7.1507082464E+00    -1.2462466481E+00    -7.1508972680E+00    -1.2463929278E+00    -7.1507082464E+00    -1.2462466481E+00    -7.1507082464E+00    -1.2462466481E+00     
