 0.00000E+00     9.72544E-01     2.49821E-01     2.49821E-01     2.49821E-01     9.72544E-01     2.49821E-01     2.49821E-01     2.49821E-01     9.72544E-01     
 1.57082E-01     1.62719E+00     2.61353E-01     2.61353E-01     2.61353E-01     1.65279E+00     2.61501E-01     2.61353E-01     2.61501E-01     1.64902E+00     
 3.14164E-01     2.01178E+00     3.25916E-01     3.25916E-01     3.25916E-01     2.01040E+00     3.25938E-01     3.25916E-01     3.25938E-01     2.01154E+00     
 4.71246E-01     2.45472E+00     3.46367E-01     3.46367E-01     3.46367E-01     2.45165E+00     3.46412E-01     3.46367E-01     3.46412E-01     2.45404E+00     
 6.28327E-01     2.84545E+00     3.62381E-01     3.62381E-01     3.62381E-01     2.84460E+00     3.62394E-01     3.62381E-01     3.62394E-01     2.84523E+00     
 7.85409E-01     3.15828E+00     3.74851E-01     3.74851E-01     3.74851E-01     3.15853E+00     3.74847E-01     3.74851E-01     3.74847E-01     3.15830E+00     
 9.42491E-01     3.38832E+00     3.84756E-01     3.84756E-01     3.84756E-01     3.38876E+00     3.84749E-01     3.84756E-01     3.84749E-01     3.38838E+00     
 1.09957E+00     3.54640E+00     3.92802E-01     3.92802E-01     3.92802E-01     3.54669E+00     3.92796E-01     3.92802E-01     3.92796E-01     3.54641E+00     
 1.25665E+00     3.65010E+00     3.99472E-01     3.99472E-01     3.99472E-01     3.65023E+00     3.99471E-01     3.99472E-01     3.99471E-01     3.65007E+00     
 1.41374E+00     3.71680E+00     4.05105E-01     4.05105E-01     4.05105E-01     3.71682E+00     4.05106E-01     4.05105E-01     4.05106E-01     3.71674E+00     
 1.57082E+00     3.76034E+00     4.09939E-01     4.09939E-01     4.09939E-01     3.76033E+00     4.09940E-01     4.09939E-01     4.09940E-01     3.76027E+00     
 1.72790E+00     3.79059E+00     4.14144E-01     4.14144E-01     4.14144E-01     3.79059E+00     4.14146E-01     4.14144E-01     4.14146E-01     3.79052E+00     
 1.88498E+00     3.81407E+00     4.17850E-01     4.17850E-01     4.17850E-01     3.81410E+00     4.17851E-01     4.17850E-01     4.17851E-01     3.81400E+00     
 2.04206E+00     3.83488E+00     4.21152E-01     4.21152E-01     4.21152E-01     3.83493E+00     4.21153E-01     4.21152E-01     4.21153E-01     3.83481E+00     
 2.19915E+00     3.85547E+00     4.24125E-01     4.24125E-01     4.24125E-01     3.85554E+00     4.24125E-01     4.24125E-01     4.24125E-01     3.85540E+00     
 2.35623E+00     3.87726E+00     4.26825E-01     4.26825E-01     4.26825E-01     3.87734E+00     4.26825E-01     4.26825E-01     4.26825E-01     3.87719E+00     
 2.51331E+00     3.90100E+00     4.29298E-01     4.29298E-01     4.29298E-01     3.90108E+00     4.29298E-01     4.29298E-01     4.29298E-01     3.90093E+00     
 2.67039E+00     3.92704E+00     4.31580E-01     4.31580E-01     4.31580E-01     3.92713E+00     4.31580E-01     4.31580E-01     4.31580E-01     3.92697E+00     
 2.82747E+00     3.95550E+00     4.33699E-01     4.33699E-01     4.33699E-01     3.95558E+00     4.33698E-01     4.33699E-01     4.33698E-01     3.95542E+00     
 2.98456E+00     3.98634E+00     4.35677E-01     4.35677E-01     4.35677E-01     3.98642E+00     4.35677E-01     4.35677E-01     4.35677E-01     3.98626E+00     
 3.14164E+00     4.01945E+00     4.37533E-01     4.37533E-01     4.37533E-01     4.01953E+00     4.37533E-01     4.37533E-01     4.37533E-01     4.01937E+00     
 3.29872E+00     4.05470E+00     4.39281E-01     4.39281E-01     4.39281E-01     4.05477E+00     4.39282E-01     4.39281E-01     4.39282E-01     4.05461E+00     
 3.45580E+00     4.09191E+00     4.40935E-01     4.40935E-01     4.40935E-01     4.09198E+00     4.40935E-01     4.40935E-01     4.40935E-01     4.09182E+00     
 3.61288E+00     4.13093E+00     4.42505E-01     4.42505E-01     4.42505E-01     4.13100E+00     4.42505E-01     4.42505E-01     4.42505E-01     4.13083E+00     
 3.76996E+00     4.17158E+00     4.43997E-01     4.43997E-01     4.43997E-01     4.17165E+00     4.43998E-01     4.43997E-01     4.43998E-01     4.17149E+00     
 3.92705E+00     4.21373E+00     4.45421E-01     4.45421E-01     4.45421E-01     4.21380E+00     4.45421E-01     4.45421E-01     4.45421E-01     4.21364E+00     
 4.08413E+00     4.25723E+00     4.46782E-01     4.46782E-01     4.46782E-01     4.25730E+00     4.46782E-01     4.46782E-01     4.46782E-01     4.25713E+00     
 4.24121E+00     4.30194E+00     4.48084E-01     4.48084E-01     4.48084E-01     4.30201E+00     4.48084E-01     4.48084E-01     4.48084E-01     4.30184E+00     
 4.39829E+00     4.34775E+00     4.49333E-01     4.49333E-01     4.49333E-01     4.34781E+00     4.49333E-01     4.49333E-01     4.49333E-01     4.34765E+00     
 4.55537E+00     4.39454E+00     4.50533E-01     4.50533E-01     4.50533E-01     4.39462E+00     4.50533E-01     4.50533E-01     4.50533E-01     4.39445E+00     
 4.71246E+00     4.44223E+00     4.51686E-01     4.51686E-01     4.51686E-01     4.44231E+00     4.51686E-01     4.51686E-01     4.51686E-01     4.44213E+00     
 4.86954E+00     4.49071E+00     4.52795E-01     4.52795E-01     4.52795E-01     4.49079E+00     4.52795E-01     4.52795E-01     4.52795E-01     4.49061E+00     
 5.02662E+00     4.53991E+00     4.53864E-01     4.53864E-01     4.53864E-01     4.53999E+00     4.53864E-01     4.53864E-01     4.53864E-01     4.53981E+00     
 5.18370E+00     4.58975E+00     4.54895E-01     4.54895E-01     4.54895E-01     4.58983E+00     4.54895E-01     4.54895E-01     4.54895E-01     4.58965E+00     
