0.0785398 -0.00494113 -0.516824 -0.00489942 -0.516881
0.235619 -0.0137262 -0.511802 -0.0136868 -0.511845
0.392699 -0.0211988 -0.499332 -0.0211513 -0.499375
0.549779 -0.0274816 -0.485393 -0.0274119 -0.485446
0.706858 -0.0325734 -0.470256 -0.0324953 -0.470277
0.863938 -0.0365593 -0.454261 -0.0364874 -0.4543
1.02102 -0.0395556 -0.437832 -0.0395011 -0.437875
1.1781 -0.0417373 -0.421329 -0.0417004 -0.421396
1.33518 -0.0431799 -0.404996 -0.0431476 -0.405042
1.49226 -0.0440421 -0.389044 -0.0440043 -0.389048
1.64934 -0.0443866 -0.373579 -0.0443408 -0.373602
1.80642 -0.0443593 -0.358745 -0.0443085 -0.358737
1.9635 -0.0439314 -0.344583 -0.0439357 -0.344568
2.12058 -0.0433271 -0.331093 -0.0433137 -0.331134
2.27765 -0.0425147 -0.318346 -0.0424828 -0.318381
2.43473 -0.041536 -0.30629 -0.0415099 -0.306286
2.59181 -0.0404538 -0.294878 -0.0404436 -0.294844
2.74889 -0.0393098 -0.284091 -0.0393103 -0.284044
2.90597 -0.0381272 -0.273912 -0.038128 -0.273863
3.06305 -0.0369212 -0.264319 -0.0369139 -0.264269
3.22013 -0.0357049 -0.25528 -0.0356845 -0.255227
3.37721 -0.0344899 -0.246761 -0.0344554 -0.246702
3.53429 -0.0332866 -0.238724 -0.0332393 -0.238658
3.69137 -0.0321034 -0.231136 -0.0320459 -0.231062
3.84845 -0.030947 -0.223962 -0.0308823 -0.223883
4.00553 -0.0298221 -0.217175 -0.0297532 -0.217092
4.16261 -0.0287318 -0.210745 -0.0286612 -0.210661
4.31969 -0.0276783 -0.204649 -0.027608 -0.204567
4.47677 -0.0266625 -0.198864 -0.0265942 -0.198785
4.63385 -0.0256849 -0.193368 -0.0256196 -0.193295
4.79093 -0.0247453 -0.188143 -0.0246838 -0.188077
4.94801 -0.0238432 -0.183171 -0.0237861 -0.183113
5.10509 -0.0229779 -0.178436 -0.0229253 -0.178386
5.26217 -0.0221485 -0.173922 -0.0221003 -0.173881
5.41925 -0.0213537 -0.169616 -0.0213101 -0.169583
5.57633 -0.0205927 -0.165504 -0.0205534 -0.16548
5.73341 -0.019864 -0.161575 -0.0198289 -0.161559
5.89049 -0.0191666 -0.157818 -0.0191354 -0.157809
6.04757 -0.0184991 -0.154222 -0.0184716 -0.15422
6.20465 -0.0178604 -0.150777 -0.0178363 -0.150782
6.36173 -0.0172493 -0.147475 -0.0172283 -0.147487
6.5188 -0.0166645 -0.144308 -0.0166464 -0.144325
6.67588 -0.016105 -0.141268 -0.0160894 -0.14129
6.83296 -0.0155694 -0.138348 -0.0155563 -0.138374
6.99004 -0.0150569 -0.13554 -0.0150459 -0.135571
