0 -0.60597 -0.606158
0.04 -0.560339 -0.56047
0.08 -0.519598 -0.519668
0.12 -0.483133 -0.483146
0.16 -0.450413 -0.450378
0.2 -0.420978 -0.420906
0.24 -0.394429 -0.394332
0.28 -0.370422 -0.37031
0.32 -0.348656 -0.34854
0.36 -0.328871 -0.328758
0.4 -0.310841 -0.310739
0.44 -0.294369 -0.294282
0.48 -0.279285 -0.279215
0.52 -0.265437 -0.265387
0.56 -0.252696 -0.252665
0.6 -0.240947 -0.240933
0.64 -0.230089 -0.230092
0.68 -0.220034 -0.220051
0.72 -0.210703 -0.210733
0.76 -0.202029 -0.202068
0.8 -0.19395 -0.193996
0.84 -0.186413 -0.186462
0.88 -0.179368 -0.17942
0.92 -0.172774 -0.172825
0.96 -0.166592 -0.166641
1 -0.160788 -0.160834
1.04 -0.15533 -0.155372
1.08 -0.150192 -0.150229
1.12 -0.145348 -0.14538
1.16 -0.140776 -0.140803
1.2 -0.136456 -0.136476
1.24 -0.132368 -0.132383
1.28 -0.128496 -0.128506
1.32 -0.124824 -0.124831
1.36 -0.121339 -0.121342
1.4 -0.118028 -0.118028
1.44 -0.114879 -0.114877
1.48 -0.111882 -0.111878
1.52 -0.109026 -0.109021
1.56 -0.106303 -0.106298
1.6 -0.103703 -0.103699
1.64 -0.101221 -0.101217
1.68 -0.0988479 -0.0988455
1.72 -0.0965778 -0.0965771
1.76 -0.0944047 -0.0944059
1.8 -0.092323 -0.0923262
1.84 -0.0903274 -0.0903327
1.88 -0.0884132 -0.0884205
1.92 -0.0865758 -0.0865852
1.96 -0.0848111 -0.0848224
2 -0.0831152 -0.0831282
2.04 -0.0814844 -0.081499
2.08 -0.0799154 -0.0799313
2.12 -0.0784049 -0.0784218
2.16 -0.07695 -0.0769677
2.2 -0.0755478 -0.075566
2.24 -0.0741958 -0.0742142
2.28 -0.0728914 -0.0729098
2.32 -0.0716324 -0.0716505
2.36 -0.0704165 -0.0704341
2.4 -0.0692417 -0.0692586
2.44 -0.068106 -0.068122
2.48 -0.0670076 -0.0670226
2.52 -0.0659447 -0.0659587
2.56 -0.0649157 -0.0649285
2.6 -0.063919 -0.0639307
2.64 -0.0629533 -0.0629637
2.68 -0.062017 -0.0620262
2.72 -0.0611089 -0.061117
2.76 -0.0602277 -0.0602347
2.8 -0.0593723 -0.0593783
2.84 -0.0585415 -0.0585467
2.88 -0.0577343 -0.0577387
2.92 -0.0569497 -0.0569535
2.96 -0.0561868 -0.0561901
3 -0.0554447 -0.0554476
3.04 -0.0547224 -0.0547252
3.08 -0.0540193 -0.054022
3.12 -0.0533346 -0.0533373
3.16 -0.0526675 -0.0526705
3.2 -0.0520175 -0.0520207
3.24 -0.0513837 -0.0513873
3.28 -0.0507657 -0.0507698
3.32 -0.0501629 -0.0501675
3.36 -0.0495746 -0.0495799
3.4 -0.0490005 -0.0490064
3.44 -0.04844 -0.0484466
3.48 -0.0478926 -0.0478999
3.52 -0.047358 -0.047366
3.56 -0.0468356 -0.0468442
3.6 -0.0463251 -0.0463344
3.64 -0.0458262 -0.045836
3.68 -0.0453383 -0.0453486
3.72 -0.0448613 -0.044872
3.76 -0.0443947 -0.0444057
3.8 -0.0439383 -0.0439496
3.84 -0.0434917 -0.0435031
3.88 -0.0430546 -0.0430661
3.92 -0.0426268 -0.0426383
3.96 -0.042208 -0.0422193
4 -0.0417979 -0.041809
4.04 -0.0413963 -0.0414071
4.08 -0.0410029 -0.0410133
4.12 -0.0406175 -0.0406274
4.16 -0.0402399 -0.0402492
4.2 -0.0398699 -0.0398785
4.24 -0.0395071 -0.039515
4.28 -0.0391515 -0.0391587
4.32 -0.0388028 -0.0388092
4.36 -0.0384608 -0.0384664
4.4 -0.0381254 -0.0381301
4.44 -0.0377963 -0.0378002
4.48 -0.0374734 -0.0374765
4.52 -0.0371565 -0.0371588
4.56 -0.0368454 -0.0368469
4.6 -0.03654 -0.0365408
4.64 -0.0362401 -0.0362402
4.68 -0.0359455 -0.0359451
4.72 -0.0356562 -0.0356552
4.76 -0.0353719 -0.0353704
4.8 -0.0350925 -0.0350906
4.84 -0.034818 -0.0348158
4.88 -0.034548 -0.0345456
4.92 -0.0342826 -0.0342801
4.96 -0.0340217 -0.0340191
5 -0.033765 -0.0337624
5.04 -0.0335124 -0.0335101
5.08 -0.033264 -0.0332619
5.12 -0.0330195 -0.0330177
5.16 -0.0327789 -0.0327775
5.2 -0.032542 -0.0325412
5.24 -0.0323088 -0.0323086
5.28 -0.0320792 -0.0320796
5.32 -0.0318531 -0.0318543
5.36 -0.0316304 -0.0316324
5.4 -0.0314111 -0.0314138
5.44 -0.031195 -0.0311986
5.48 -0.0309821 -0.0309866
5.52 -0.0307723 -0.0307778
5.56 -0.0305656 -0.030572
5.6 -0.0303619 -0.0303692
5.64 -0.0301612 -0.0301693
5.68 -0.0299633 -0.0299723
5.72 -0.0297682 -0.0297781
5.76 -0.0295759 -0.0295867
5.8 -0.0293863 -0.0293979
5.84 -0.0291993 -0.0292117
5.88 -0.029015 -0.029028
5.92 -0.0288332 -0.0288469
5.96 -0.028654 -0.0286682
6 -0.0284772 -0.028492
6.04 -0.0283029 -0.0283181
6.08 -0.028131 -0.0281465
6.12 -0.0279614 -0.0279771
6.16 -0.0277942 -0.02781
6.2 -0.0276292 -0.0276451
6.24 -0.0274664 -0.0274824
6.28 -0.0273059 -0.0273217
6.32 -0.0271475 -0.0271631
6.36 -0.0269912 -0.0270066
6.4 -0.0268371 -0.026852
6.44 -0.026685 -0.0266995
