0.0	-2.05986563176	-2.05986563176	
0.04	-1.89921631359	-1.89921631359	
0.08	-1.75511222025	-1.75511222025	
0.12	-1.62591236585	-1.62591236585	
0.16	-1.51004563794	-1.51004563794	
0.2	-1.40604919339	-1.40604919339	
0.24	-1.31258657363	-1.31258657363	
0.28	-1.22845293621	-1.22845293621	
0.32	-1.1525723865	-1.1525723865	
0.36	-1.08399073178	-1.08399073178	
0.4	-1.0218658405	-1.0218658405	
0.44	-0.96545701264	-0.96545701264	
0.48	-0.914114241375	-0.914114241375	
0.52	-0.86726789325	-0.86726789325	
0.56	-0.824419100743	-0.824419100743	
0.6	-0.785131008704	-0.785131008704	
0.64	-0.749020919508	-0.749020919508	
0.68	-0.715753322251	-0.715753322251	
0.72	-0.685033756803	-0.685033756803	
0.76	-0.65660344534	-0.65660344534	
0.8	-0.630234616362	-0.630234616362	
0.84	-0.605726445155	-0.605726445155	
0.88	-0.58290153761	-0.58290153761	
0.92	-0.561602889413	-0.561602889413	
0.96	-0.541691258837	-0.541691258837	
1.0	-0.523042897882	-0.523042897882	
1.04	-0.505547592941	-0.505547592941	
1.08	-0.489106972225	-0.489106972225	
1.12	-0.473633042717	-0.473633042717	
1.16	-0.459046924467	-0.459046924467	
1.2	-0.445277754403	-0.445277754403	
1.24	-0.432261735812	-0.432261735812	
1.28	-0.419941312953	-0.419941312953	
1.32	-0.40826445326	-0.40826445326	
1.36	-0.397184022087	-0.397184022087	
1.4	-0.386657237139	-0.386657237139	
1.44	-0.376645191594	-0.376645191594	
1.48	-0.367112436485	-0.367112436485	
1.52	-0.358026614314	-0.358026614314	
1.56	-0.349358136986	-0.349358136986	
1.6	-0.341079902165	-0.341079902165	
1.64	-0.333167042981	-0.333167042981	
1.68	-0.325596706739	-0.325596706739	
1.72	-0.318347858891	-0.318347858891	
1.76	-0.311401109055	-0.311401109055	
1.8	-0.3047385563	-0.3047385563	
1.84	-0.298343651318	-0.298343651318	
1.88	-0.292201073391	-0.292201073391	
1.92	-0.286296620383	-0.286296620383	
1.96	-0.280617110188	-0.280617110188	
2.0	-0.275150292292	-0.275150292292	
2.04	-0.269884768273	-0.269884768273	
2.08	-0.264809920206	-0.264809920206	
2.12	-0.259915846097	-0.259915846097	
2.16	-0.255193301544	-0.255193301544	
2.2	-0.250633646957	-0.250633646957	
2.24	-0.24622879972	-0.24622879972	
2.28	-0.24197119078	-0.24197119078	
2.32	-0.237853725187	-0.237853725187	
2.36	-0.233869746181	-0.233869746181	
2.4	-0.230013002455	-0.230013002455	
2.44	-0.226277618283	-0.226277618283	
2.48	-0.222658066214	-0.222658066214	
2.52	-0.219149142098	-0.219149142098	
2.56	-0.215745942193	-0.215745942193	
2.6	-0.21244384218	-0.21244384218	
2.64	-0.209238477881	-0.209238477881	
2.68	-0.206125727543	-0.206125727543	
2.72	-0.203101695527	-0.203101695527	
2.76	-0.200162697279	-0.200162697279	
2.8	-0.197305245475	-0.197305245475	
2.84	-0.194526037226	-0.194526037226	
2.88	-0.191821942254	-0.191821942254	
2.92	-0.189189991952	-0.189189991952	
2.96	-0.186627369264	-0.186627369264	
3.0	-0.184131399293	-0.184131399293	
3.04	-0.1816995406	-0.1816995406	
3.08	-0.179329377126	-0.179329377126	
3.12	-0.177018610676	-0.177018610676	
3.16	-0.174765053941	-0.174765053941	
3.2	-0.172566624002	-0.172566624002	
3.24	-0.170421336271	-0.170421336271	
3.28	-0.168327298856	-0.168327298856	
3.32	-0.166282707292	-0.166282707292	
3.36	-0.164285839633	-0.164285839633	
3.4	-0.16233505186	-0.16233505186	
3.44	-0.16042877359	-0.16042877359	
3.48	-0.158565504064	-0.158565504064	
3.52	-0.156743808387	-0.156743808387	
3.56	-0.154962314012	-0.154962314012	
3.6	-0.153219707436	-0.153219707436	
3.64	-0.151514731109	-0.151514731109	
3.68	-0.149846180525	-0.149846180525	
3.72	-0.148212901501	-0.148212901501	
3.76	-0.146613787608	-0.146613787608	
3.8	-0.145047777764	-0.145047777764	
3.84	-0.143513853965	-0.143513853965	
3.88	-0.142011039153	-0.142011039153	
3.92	-0.140538395202	-0.140538395202	
3.96	-0.139095021028	-0.139095021028	
4.0	-0.137680050801	-0.137680050801	
4.04	-0.136292652261	-0.136292652261	
4.08	-0.134932025126	-0.134932025126	
4.12	-0.133597399591	-0.133597399591	
4.16	-0.13228803491	-0.13228803491	
4.2	-0.131003218055	-0.131003218055	
4.24	-0.129742262445	-0.129742262445	
4.28	-0.12850450675	-0.12850450675	
4.32	-0.127289313749	-0.127289313749	
4.36	-0.126096069261	-0.126096069261	
4.4	-0.124924181119	-0.124924181119	
4.44	-0.12377307821	-0.12377307821	
4.48	-0.122642209551	-0.122642209551	
4.52	-0.121531043427	-0.121531043427	
4.56	-0.12043906656	-0.12043906656	
4.6	-0.11936578333	-0.11936578333	
4.64	-0.118310715025	-0.118310715025	
4.68	-0.117273399141	-0.117273399141	
4.72	-0.116253388701	-0.116253388701	
4.76	-0.115250251622	-0.115250251622	
4.8	-0.114263570103	-0.114263570103	
4.84	-0.113292940048	-0.113292940048	
4.88	-0.112337970511	-0.112337970511	
4.92	-0.111398283174	-0.111398283174	
4.96	-0.110473511845	-0.110473511845	
5.0	-0.109563301979	-0.109563301979	
5.04	-0.108667310228	-0.108667310228	
5.08	-0.107785203999	-0.107785203999	
5.12	-0.106916661049	-0.106916661049	
5.16	-0.106061369082	-0.106061369082	
5.2	-0.105219025375	-0.105219025375	
5.24	-0.104389336418	-0.104389336418	
5.28	-0.103572017565	-0.103572017565	
