0 -0.500053 -0.499939
0.04 -0.467675 -0.467308
0.08 -0.437505 -0.437533
0.12 -0.41034 -0.410518
0.16 -0.385628 -0.385377
0.2 -0.36262 -0.362348
0.24 -0.341831 -0.341933
0.28 -0.322423 -0.322217
0.32 -0.304704 -0.304691
0.36 -0.288372 -0.288231
0.4 -0.273048 -0.273311
0.44 -0.259236 -0.25931
0.48 -0.24625 -0.24616
0.52 -0.234123 -0.233951
0.56 -0.223011 -0.223047
0.6 -0.212723 -0.212493
0.64 -0.202823 -0.202761
0.68 -0.193809 -0.193915
0.72 -0.18532 -0.185384
0.76 -0.177362 -0.177473
0.8 -0.170227 -0.170189
0.84 -0.163285 -0.163341
0.88 -0.156804 -0.156757
0.92 -0.150727 -0.150747
0.96 -0.145074 -0.145238
1 -0.139626 -0.139702
1.04 -0.134467 -0.13482
1.08 -0.129888 -0.129976
1.12 -0.125619 -0.125584
1.16 -0.121454 -0.121419
1.2 -0.117378 -0.117309
1.24 -0.113687 -0.113668
1.28 -0.110076 -0.109809
1.32 -0.106604 -0.106646
1.36 -0.103429 -0.103503
1.4 -0.100547 -0.100452
1.44 -0.0975218 -0.09773
1.48 -0.094902 -0.0949261
1.52 -0.0922184 -0.0924062
1.56 -0.0898484 -0.0898932
1.6 -0.0876525 -0.0875395
1.64 -0.0851918 -0.0852778
1.68 -0.083134 -0.0830125
1.72 -0.0811747 -0.0811711
1.76 -0.0791827 -0.0791541
1.8 -0.077298 -0.0773381
1.84 -0.075657 -0.0755665
1.88 -0.0739427 -0.0738905
1.92 -0.0722358 -0.0723127
1.96 -0.0708129 -0.0707335
2 -0.0692195 -0.0692217
2.04 -0.0678187 -0.0677791
2.08 -0.0664451 -0.0663875
2.12 -0.0651033 -0.0650564
2.16 -0.0638012 -0.0638514
2.2 -0.0626226 -0.0625773
2.24 -0.0614188 -0.0614742
2.28 -0.0603827 -0.0603058
2.32 -0.0592499 -0.0592566
2.36 -0.0582229 -0.0582028
2.4 -0.0571498 -0.0571597
2.44 -0.0562744 -0.0561803
2.48 -0.0552497 -0.0552833
2.52 -0.0543166 -0.0543596
2.56 -0.0534908 -0.0534896
2.6 -0.0525531 -0.0525601
2.64 -0.0517597 -0.0519228
2.68 -0.0510067 -0.0509487
2.72 -0.0501623 -0.0502196
2.76 -0.0495191 -0.0494691
2.8 -0.0487228 -0.0486095
2.84 -0.0480658 -0.048013
2.88 -0.047352 -0.0473676
2.92 -0.0467006 -0.0466776
2.96 -0.0460051 -0.0460338
3 -0.0453759 -0.0453781
3.04 -0.0447366 -0.044809
3.08 -0.0442007 -0.0442296
3.12 -0.0435365 -0.0436713
3.16 -0.0431292 -0.0430371
3.2 -0.042498 -0.0425487
3.24 -0.0419854 -0.0419906
3.28 -0.0414079 -0.0414618
3.32 -0.0409355 -0.0409491
3.36 -0.0404529 -0.0404687
3.4 -0.0399892 -0.0399615
3.44 -0.039496 -0.0394933
3.48 -0.0390589 -0.0391122
3.52 -0.0386422 -0.0385602
3.56 -0.0381387 -0.0381993
3.6 -0.0377286 -0.0377607
3.64 -0.0373287 -0.0373279
3.68 -0.0369066 -0.0368907
3.72 -0.0365236 -0.0365108
3.76 -0.0361581 -0.0361434
3.8 -0.0357815 -0.035765
3.84 -0.0354181 -0.0353971
3.88 -0.0350104 -0.0350199
3.92 -0.0346746 -0.0346673
3.96 -0.034284 -0.0343302
4 -0.033959 -0.033994
4.04 -0.0336214 -0.0336401
4.08 -0.0333144 -0.0333232
4.12 -0.0330019 -0.0329832
4.16 -0.0327048 -0.0326676
4.2 -0.0323516 -0.0323248
4.24 -0.0320479 -0.0321025
4.28 -0.0317717 -0.0317849
4.32 -0.0315245 -0.0315133
4.36 -0.031207 -0.0311784
4.4 -0.0309711 -0.0309128
4.44 -0.0306484 -0.0306578
4.48 -0.030392 -0.0304171
4.52 -0.0301436 -0.0301422
4.56 -0.0298307 -0.0298683
4.6 -0.029592 -0.0295733
4.64 -0.0293992 -0.0293884
4.68 -0.0291043 -0.0291304
4.72 -0.028907 -0.0289044
4.76 -0.028657 -0.0286304
4.8 -0.0284007 -0.0284281
4.84 -0.0281769 -0.0281673
4.88 -0.0279692 -0.0279583
4.92 -0.0277577 -0.0277557
4.96 -0.0275298 -0.0274961
5 -0.0273163 -0.0272966
5.04 -0.0271002 -0.0271256
5.08 -0.0268853 -0.0269198
5.12 -0.0266971 -0.0266684
5.16 -0.0265154 -0.0264911
5.2 -0.026329 -0.0263039
5.24 -0.0260858 -0.026125
5.28 -0.0259231 -0.0259201
5.32 -0.0257411 -0.0257124
5.36 -0.0255509 -0.0255567
5.4 -0.0253667 -0.0253748
5.44 -0.0252145 -0.0251622
5.48 -0.0250366 -0.0250077
5.52 -0.0248345 -0.0248694
5.56 -0.0246244 -0.0246632
5.6 -0.0245049 -0.0244722
5.64 -0.0243306 -0.0243615
5.68 -0.0241914 -0.0241365
